model,tahun,harga,transmisi,odometer,jenis,pajak,mesin,BBM_Aktual,BBM_Prediksi
6,2015.032205776345,13736.133656385988,1,106763.27784943118,0,201.8881692760493,75.18560772636702,129.43557696915167,100.32440858894111
5,2014.9034571797,14295.837121057575,1,28093.493346075407,3,50.44502653846308,198.6534492156703,92.33190778805572,98.43651199699595
5,2011.15,19710.02,1,49753.86,3,202.1,37.4,59.674136929016086,62.9791817148767
0,2010.564298659214,27906.100209785007,0,70331.55986549635,3,167.80896396389406,93.20067117562716,95.5852627579099,95.57308969972503
5,2013.781025491614,21357.91764118028,2,-2655.4225254298217,0,108.36088572303883,45.27029356285176,49.33906583584982,34.7938496940343
8,2011.5524333103656,22542.182040988795,1,31494.00185846954,1,260.7190177599926,126.7180831959833,101.05840998534391,110.99678399176814
7,2016.9,24924.6,0,94263.19,3,280.19,126.2,151.53706056192271,148.75524993650401
12,2018.0006949563287,25070.811296734428,1,59983.693664697166,2,143.3098669305083,90.75929434898458,100.68608067077348,100.38974539244417
6,2012.6499137667784,17022.6469765955,1,79918.4051599383,0,187.15160531308703,14.010618563811228,68.3461284914644,61.93608364195481
8,2011.2,25092.68,2,24289.71,3,75.15,80.37,55.15241270150696,58.12905653088927
7,2017.56,16115.6,1,92170.79,2,98.46,137.32,131.84936497850958,110.26590493883182
2,2011.673556812742,26790.47398984687,1,85982.61974770567,0,273.2670953209627,130.7142855801177,142.61843445162384,136.70417752047294
9,2014.5217385856367,33127.68070285977,0,69748.44944385177,2,94.10464490348969,111.00142580015994,90.88662945051158,105.32888833170834
5,2015.8024743173933,12311.741434546184,1,72933.22372969826,1,37.071109814873125,15.094904258533964,46.14694536836399,40.09544797640589
11,2018.225483754601,23377.870088407908,0,45855.00037484268,1,147.68518843870933,89.51874017412005,96.97459043244535,94.38917010900452
2,2013.1700280308385,18780.706834941084,0,125245.22278933592,1,333.3747604636451,42.14022175797013,109.73553342340368,118.91194559682172
10,2016.27,31596.49,1,4967.53,0,236.91,18.41,73.25100887386682,66.81264671655732
4,2018.0886750941745,1065.274473263209,2,86750.32950565702,3,51.32147997684767,67.00416552661639,52.29251280309529,57.56933186893588
10,2011.0941868730647,14423.96048631396,0,24331.35034807357,1,293.3057095438568,76.14910653802453,86.87428603858726,81.69463054615342
7,2014.0179409620844,18034.452088064125,0,78566.33765185552,1,166.6867277985907,71.55815866457988,91.05239394240792,84.53494177538144
6,2012.703590552689,15484.77500320134,0,86066.38780748355,3,129.06541778991965,106.548307725553,88.49842701016607,91.66757042745961
3,2015.33,34082.87,0,58026.85,2,219.31,126.66,140.28714492747974,128.09139648186093
4,2012.5537287222755,13461.322099931742,2,35077.85158931787,0,188.347651808648,182.49009336254272,125.51901917477116,114.49308915287905
6,2016.6910620728447,17355.99532118643,2,91483.5296830055,1,323.65278436290885,56.950956967704485,130.86225332951102,118.72952411254323
6,2015.8402345403229,20063.670219774354,1,66305.81595223115,2,45.309324798629234,19.063519171818847,29.257102020938348,44.28077026951678
1,2011.933635350938,24454.0987311347,2,-460.6238554519441,3,262.5221793381675,104.15070125796085,81.57076667105858,88.44623002592499
6,2014.2,7620.3,2,17185.36,0,264.95,146.06,112.98089592452722,104.35402068710879
0,2015.8517720165075,35123.47207372955,0,47105.10551135135,3,212.77445696738087,155.64021717812955,154.44111506661915,142.79510355633005
5,2016.6036491467028,32065.190441985484,2,49525.4205393956,0,471.62382674973935,72.1761722642978,147.4259249849253,136.6849860733284
5,2014.6067710165885,-4733.757867655972,2,123742.11574508333,1,169.22562269471763,46.67875021304006,73.26969116727943,71.02118279274866
9,2011.57,13286.45,0,45508.95,0,71.11,35.04,38.18101145861655,31.523843802133
4,2013.63,22696.21,1,18840.03,0,173.55,61.52,66.79798791043933,71.1424441639992
8,2017.682256247156,26179.58009164412,1,54857.56200617422,3,311.8769224986668,41.7022670734365,118.93507396787612,106.37105521956826
6,2011.067972872234,10358.486349419893,2,103740.5330810021,1,78.58002213486577,30.06395292837002,52.466033075616096,45.37244398601704
12,2015.6197321537388,20736.85257002929,0,78856.05940585819,3,181.9334486898935,81.24535285176776,100.14862839426,100.12388794960735
8,2017.4915586388047,11762.679757397247,2,72226.9185498568,0,165.49533373289427,118.34569152413826,104.8169448543127,106.61196766070408
11,2014.1731934956013,17918.6327840278,2,76459.3979985958,1,158.40528382980574,53.41937147877277,92.20751043536784,75.99239795123081
9,2018.29,20212.61,1,60503.21,3,119.48,63.08,88.1959051638143,75.15637384503204
4,2013.503934080161,32349.13360505865,2,67060.83478635135,0,248.2756736885225,-22.26039243846286,68.53507136511094,73.2508476934378
9,2015.7257283083893,30607.377078512985,0,104721.82986717984,2,163.37049210332606,42.56529632439756,81.58701310126207,95.6712033133551
8,2015.49173603666,25171.755142253605,0,67770.33658296759,0,86.10044542544173,92.58297738705204,92.16281984824182,87.45890162455231
